timestamp,iteration,MER?
2026-04-16 11:25:59.351,1,29.4 dB
2026-04-16 11:26:09.745,2,29.6 dB
2026-04-16 11:26:20.091,3,29.7 dB
2026-04-16 11:26:30.438,4,29.5 dB
2026-04-16 11:26:40.785,5,29.9 dB
2026-04-16 11:26:51.135,6,29.7 dB
2026-04-16 11:27:01.538,7,29.8 dB
2026-04-16 11:27:11.966,8,29.6 dB
2026-04-16 11:27:22.308,9,29.4 dB
2026-04-16 11:27:32.652,10,29.6 dB
2026-04-16 11:27:43.064,11,29.5 dB
2026-04-16 11:27:53.410,12,29.4 dB
2026-04-16 11:28:03.822,13,29.5 dB
2026-04-16 11:28:14.238,14,29.5 dB
2026-04-16 11:28:24.594,15,29.7 dB
2026-04-16 11:28:34.938,16,29.4 dB
2026-04-16 11:28:45.321,17,29.7 dB
2026-04-16 11:28:55.668,18,29.5 dB
