timestamp,iteration,POW?
2026-04-16 11:27:25.264,1,78.5 dBµV
2026-04-16 11:27:27.615,2,78.5 dBµV
2026-04-16 11:27:29.961,3,78.4 dBµV
2026-04-16 11:27:32.307,4,78.5 dBµV
2026-04-16 11:27:34.696,5,78.4 dBµV
2026-04-16 11:27:37.111,6,78.5 dBµV
2026-04-16 11:27:39.484,7,78.5 dBµV
2026-04-16 11:27:41.902,8,78.5 dBµV
2026-04-16 11:27:44.247,9,78.4 dBµV
2026-04-16 11:27:46.639,10,78.5 dBµV
2026-04-16 11:27:49.270,11,78.4 dBµV
2026-04-16 11:27:51.681,12,78.4 dBµV
2026-04-16 11:27:54.027,13,78.5 dBµV
2026-04-16 11:27:56.449,14,78.4 dBµV
2026-04-16 11:27:58.852,15,78.5 dBµV
2026-04-16 11:28:01.211,16,78.5 dBµV
2026-04-16 11:28:03.560,17,78.5 dBµV
2026-04-16 11:28:05.932,18,78.5 dBµV
2026-04-16 11:28:08.320,19,78.5 dBµV
2026-04-16 11:28:10.710,20,78.4 dBµV
2026-04-16 11:28:13.057,21,78.5 dBµV
2026-04-16 11:28:15.439,22,78.5 dBµV
2026-04-16 11:28:17.829,23,78.5 dBµV
2026-04-16 11:28:20.178,24,78.6 dBµV
2026-04-16 11:28:22.527,25,78.5 dBµV
2026-04-16 11:28:24.874,26,78.4 dBµV
